X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-76.9722857921115,38.85504385355,42055,Ward 8,"2306 Hartford Street Southeast, Washington, District of Columbia 20020",Maplewood Courts,Completed 2015 to Date,DHCD,94,38.85503641,-76.97228352,10,84,0,0,0,,286806,402405.75,131914.33,2306 HARTFORD STREET SE,2023/03/13 05:00:26+00
-77.0187626550909,38.9761139411072,42056,Ward 4,"7051 Spring Place Northwest, Washington, District of Columbia 20012",Metro Village,Completed 2015 to Date,DCHFA DHCD,120,38.97649172,-77.01895423,0,0,120,0,0,,285374,398374.39,145353.92,7051 SPRING PLACE NW,2023/03/13 05:00:26+00
-76.950864727379,38.9011792495426,42057,Ward 7,"3614 Grant Place Northeast, Washington, District of Columbia 20019",MetroTowns @ Parkside,Completed 2015 to Date,DCHA DHCD,94,38.90117146,-76.95086246,42,0,0,52,0,,309205,404262.31,137036.49,3614 GRANT PLACE NE,2023/03/13 05:00:26+00
-77.0299786851125,38.9202526137487,42058,Ward 1,"1300 Florida Ave NW, Washington, District of Columbia 20009",Miriam's House (N Street Village),Completed 2015 to Date,DCHA DHCD,25,38.92026164,-77.03000223,25,0,0,0,0,,240293,397400.47,139153.07,1300 FLORIDA AVENUE NW,2023/03/13 05:00:26+00
-77.025127182049,38.9059013112651,42059,Ward 6,"927 M Street Northwest, Washington, District of Columbia 20001",NCCLT Scattered Sites,Completed 2015 to Date,DHCD,6,38.91280155,-77.02508362,6,0,0,0,0,,239763,397820.75,137559.83,927 M STREET NW,2023/03/13 05:00:26+00
-77.008644297768,38.9030017429211,42060,Ward 6,"1005 North Capitol Street Northeast, Washington, District of Columbia 20002",North Capitol Commons,Completed 2015 to Date,DMPED DCHA DCHFA DHCD,123,38.90298158,-77.00872824,59,0,64,0,0,,310452,399250.39,137237.69,1005 NORTH CAPITOL STREET NE,2023/03/13 05:00:26+00
-77.0099026134664,38.9035456575796,42061,Ward 6,"2 L Street Northwest, Washington, District of Columbia 20001",Northwest One - Phase 1,Completed 2015 to Date,DMPED DCHFA DHCD,150,38.90353787,-77.00990033,77,0,73,0,0,,300442,399141.25,137298.08,2 L STREET NW,2023/03/13 05:00:26+00
-76.9860751661187,38.9054187150378,42062,Ward 5,"1256 Owen Place Northeast, Washington, District of Columbia 20002",Owen House,Completed 2015 to Date,DCHA DHCD,4,38.90541126,-76.98607289,4,0,0,0,0,,69542,401208,137506.05,1256 OWEN PLACE NE,2023/03/13 05:00:26+00
-77.0215176680366,38.9128861118592,42063,Ward 6,"1707 7th Street NW, Washington, District of Columbia 20001",Parcel 42,Under Construction,DMPED DHCD,108,38.91287832,-77.02151538,9,41,52,6,0,,334861,398134.01,138335.12,1707 7TH STREET NW,2023/03/13 05:00:26+00
-77.0219863924412,38.9327681140394,42064,Ward 1,"610 Park Road Northwest, Washington, District of Columbia 20010",Park Morton - Onsite Phase 1,Under Construction,DMPED DCHFA DHCD OP,142,38.93276032,-77.0219841,31,0,72,39,0,16-12,228839,398093.89,140542.2,610 PARK ROAD NW,2023/03/13 05:00:26+00
-76.9868113849542,38.8506881177233,44161,Ward 8,"2841 Robinson Place Southeast, Washington, District of Columbia 20020",Parkway Overlook,Completed 2015 to Date,DMPED DCHA DCHFA DHCD,220,38.85068067,-76.98680911,11,209,0,0,0,,45641,401145.02,131430.53,2841 ROBINSON PLACE SE,2023/03/13 05:00:26+00
-77.027222298653,38.9564499755838,44162,Ward 4,"935 Kennedy Street Northwest, Washington, District of Columbia 20011",Partner Arms 1,Completed 2015 to Date,DCHA DHCD,14,38.95644218,-77.02722,14,0,0,0,0,,254535,397640.7,143171.22,935 KENNEDY STREET NW,2023/03/13 05:00:26+00
-77.0243198324569,38.9117569972749,44163,Ward 6,"901 Rhode Island Ave NW, Washington, District of Columbia 20001",Phyllis Wheatley,Completed 2015 to Date,DCHA DHCD,84,38.91174954,-77.02431754,84,0,0,0,0,,243262,397890.95,138209.84,901 RHODE ISLAND AVENUE NW,2023/03/13 05:00:26+00
-76.9107442230726,38.8931479476575,44164,Ward 7,"323 63rd Street Northeast, Washington, District of Columbia 20019","Pleasant Park Cooperative, Inc.",Completed 2015 to Date,DHCD,40,38.89314049,-76.91074197,14,19,3,4,1,,148655,407743.33,136147.59,323 63RD STREET NE,2023/03/13 05:00:26+00
-77.0120478769066,38.880284214735,44165,Ward 6,"54 H Street Southwest, Washington, District of Columbia 20024",Gallery 64/Museum Place - Randall School redevelopment,Under Construction,DMPED DHCD OP,98,38.87995003,-77.01145096,0,0,6,92,0,07-13G,803601,398954.83,134715.9,1 - 99 BLOCK OF H STREET SW,2023/03/13 05:00:26+00
-77.0005712257952,38.9175579231234,44166,Ward 5,"2005 4th Street Northeast, Washington, District of Columbia 20002","RAP, Inc. Community Based Residential Facility (fka The Summit)",Completed 2015 to Date,DHCD,38,38.91701582,-77.00028827,38,0,0,0,0,,807447,399950.66,138853.51,1957 - 2099 BLOCK OF 4TH STREET NE,2023/03/13 05:00:26+00
-76.988072019617,38.9004818165672,44167,Ward 6,"1300 H St NE, Washington, District of Columbia 20002",RL Christian,Completed 2015 to Date,DMPED,33,38.90039266,-76.98811702,4,29,0,0,0,03-28A,286021,401034.87,136957.99,1300 H STREET NE,2023/03/13 05:00:26+00
-76.9804810496302,38.8956565460686,44168,Ward 6,"417 17th St NE, Washington, District of Columbia 20002",Rosedale Townhomes / 17 Solar (Rosedale Property Disposition),Completed 2015 to Date,DHCD,12,38.89564189,-76.98052604,0,3,6,3,0,,311020,401693.45,136422.46,417 17TH STREET NE,2023/03/13 05:00:26+00
